,name
0,Ancestor's Chosen
14,Angel of Mercy
28,Angelic Blessing
42,Angelic Chorus
53,Angelic Wall
67,Aura of Silence
77,Aven Cloudchaser
90,Ballista Squad
99,Bandage
109,Beacon of Immortality
119,Benalish Knight
133,"Cho-Manno, Revolutionary"
142,Condemn
153,Demystify
162,Field Marshal
177,Ghost Warden
186,Glorious Anthem
197,Hail of Arrows
205,Heart of Light
218,High Ground
228,Holy Day
239,Holy Strength
253,Honor Guard
262,Icatian Priest
271,Kjeldoran Royal Guard
281,Loxodon Mystic
291,Loyal Sentry
300,Luminesce
309,Mobilization
323,Nomad Mythmaker
337,Pacifism
351,Paladin en-Vec
365,Pariah
380,Reviving Dose
388,Reya Dawnbringer
403,Righteousness
413,Rule of Law
423,Samite Healer
431,Serra Angel
444,Serra's Embrace
458,Skyhunter Patrol
472,Skyhunter Prowler
486,Skyhunter Skirmisher
499,Soul Warden
508,Spirit Link
522,Spirit Weaver
530,Starlight Invoker
539,Steadfast Guard
552,Story Circle
563,Suntail Hawk
573,Tempest of Light
583,Treasure Hunter
593,True Believer
608,Tundra Wolves
621,Venerable Monk
629,Voice of All
643,Wall of Swords
657,Warrior's Honor
667,Wild Griffin
680,Windborn Muse
692,Wrath of God
702,Youthful Knight
716,Academy Researchers
725,Air Elemental
739,Ambassador Laquatus
750,Arcanis the Omnipotent
761,Aura Graft
771,Aven Fisher
784,Aven Windreader
797,Boomerang
807,Cancel
817,Cephalid Constable
828,Clone
838,Cloud Elemental
851,Cloud Sprite
865,Counsel of the Soratami
875,Crafty Pathmage
883,Dehydration
896,Deluge
906,Denizen of the Deep
916,Discombobulate
925,Dreamborn Muse
936,Evacuation
946,Flashfreeze
956,Fog Elemental
970,Fugitive Wizard
980,Horseshoe Crab
990,Hurkyl's Recall
1001,Lumengrid Warden
1010,Mahamoti Djinn
1024,March of the Machines
1039,Merfolk Looter
1048,Mind Bend
1063,Peek
1074,Persuasion
1088,Phantom Warrior
1097,Plagiarize
1106,Puppeteer
1116,Reminisce
1126,Remove Soul
1135,Robe of Mirrors
1150,Rootwater Commando
1161,Rootwater Matriarch
1172,Sage Owl
1186,Scalpelexis
1200,Sea Monster
1209,Shimmering Wings
