cardFinish,currency,date,gameAvailability,price,priceProvider,providerListing,uuid
normal,USD,2023-11-05,mtgo,0.08,cardhoarder,retail,f182e364-0439-5594-a6e6-75f7889ccf45
normal,USD,2023-11-05,mtgo,0.27,cardhoarder,retail,330deaa3-dd7a-52a8-bfbc-b323cd16a409
normal,USD,2023-11-05,mtgo,0.02,cardhoarder,retail,79e36956-b91f-580f-8309-7d9585a67560
normal,USD,2023-11-05,mtgo,0.17,cardhoarder,retail,6afb2b4c-530a-57d5-8e7f-871239f6fa05
normal,USD,2023-11-05,mtgo,0.02,cardhoarder,retail,b1fc2762-92aa-5a14-8509-a59cb611e376
normal,USD,2023-11-05,mtgo,0.03,cardhoarder,retail,1752875e-efd2-55fb-a43b-0ddfa14fdb38
normal,USD,2023-11-05,mtgo,0.02,cardhoarder,retail,67693fce-61a9-5bc6-87f5-3dfd8ed5028a
normal,USD,2023-11-05,mtgo,0.03,cardhoarder,retail,4d3c8445-272a-53f4-adf5-c4e14d54d820
normal,USD,2023-11-05,mtgo,0.37,cardhoarder,retail,6a90b49f-5899-502d-8c43-3ae782078d94
normal,USD,2023-11-05,mtgo,0.02,cardhoarder,retail,588d3c30-ed5b-5d1b-b69a-d26f236f1eb5
normal,USD,2023-11-05,mtgo,1.36,cardhoarder,retail,f92e0d63-3ce0-5a98-af39-db091ce06a36
normal,USD,2023-11-05,mtgo,0.02,cardhoarder,retail,7521ee13-3b18-51cf-9373-36b587a93d6d
normal,USD,2023-11-05,mtgo,9.93,cardhoarder,retail,ded2f422-23da-5ec1-8b1d-06090afbeeac
normal,USD,2023-11-05,mtgo,0.02,cardhoarder,retail,32d915da-e88f-5d36-947c-ba6369af6284
normal,USD,2023-11-05,mtgo,7.27,cardhoarder,retail,c974ceb2-aa35-5bcc-b086-2f5f976de060
normal,USD,2023-11-05,mtgo,2.17,cardhoarder,retail,fee51f71-b18f-544c-a0fc-f923efd7a0b2
normal,USD,2023-11-05,mtgo,0.02,cardhoarder,retail,9b72bb8f-4884-502b-94db-be853eca0108
normal,USD,2023-11-05,mtgo,0.02,cardhoarder,retail,0b9d173a-9408-5061-877c-d3af2a673d26
normal,USD,2023-11-05,mtgo,0.84,cardhoarder,retail,fd2dc695-89d5-5dd1-b0ab-ed5564a91c93
normal,USD,2023-11-05,mtgo,0.85,cardhoarder,retail,e7876a4a-f02b-5dbd-9258-22dbe905f2b0
normal,USD,2023-11-05,mtgo,0.02,cardhoarder,retail,15bfbd93-5555-5208-8de8-e9af52186309
normal,USD,2023-11-05,mtgo,0.03,cardhoarder,retail,55f78448-d4d5-53fd-ae65-2d9452835823
normal,USD,2023-11-05,mtgo,0.35,cardhoarder,retail,b22228a3-ecc1-54d7-9322-d3fdce199a9e
normal,USD,2023-11-05,mtgo,02.06,cardhoarder,retail,e40cc550-3bce-56f3-9864-b5c257015228
normal,USD,2023-11-05,mtgo,0.02,cardhoarder,retail,1af28cfa-4ec3-50cf-b5a9-cafb05934937
normal,USD,2023-11-05,mtgo,0.3,cardhoarder,retail,c24c40bc-f7ba-5bbf-bed7-e4e9ee6edb1d
normal,USD,2023-11-05,mtgo,0.26,cardhoarder,retail,fb7d72fc-25b7-5f3f-a5fd-d1bae1a8fd05
normal,USD,2023-11-05,mtgo,0.02,cardhoarder,retail,d670234b-f692-5c27-a87b-1775e30017a3
normal,USD,2023-11-05,mtgo,0.03,cardhoarder,retail,29924ca8-4937-5caa-a972-489bf1fd5139
normal,USD,2023-11-05,mtgo,0.23,cardhoarder,retail,aa0bf97b-807d-5fdd-a73d-26221d4d10f0
normal,USD,2023-11-05,mtgo,0.03,cardhoarder,retail,519d8b44-b84a-5470-84b0-719e0b4bea63
normal,USD,2023-11-05,mtgo,0.03,cardhoarder,retail,1394796a-534f-5e87-8b41-31258f7115b4
normal,USD,2023-11-05,mtgo,0.03,cardhoarder,retail,f9e61d2d-bed5-5eb8-a876-5537572da8aa
normal,USD,2023-11-05,mtgo,0.03,cardhoarder,retail,817fcaad-58b5-5580-a996-969b2183c837
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,dc3aff87-5063-5969-84de-db0770b7d199
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,d9cead3f-2c96-5df3-96b3-e5a48c70a309
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,e28343b7-0e42-599e-99d8-e7bd55f01d7d
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,681840a1-5755-507e-a2d0-a2b8971d8961
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,83cfaa42-85d2-5631-9dda-27d69fc92ddc
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,9312a386-6f66-5c05-8777-9fc3a32a32d5
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,9be54a48-ce40-5f7c-bf62-c00c69d97468
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,f7fad12e-dca3-5cf8-9a70-77e455d3da82
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,dd06559b-f9ca-519d-b327-d8645dacf3ec
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,6d087c5a-7f55-58b6-b6e1-5e1424e67ef6
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,541036a1-1780-596f-9212-af133a1fa6e2
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,a7fb16b7-83fd-5428-84d3-61251889549f
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,b15c053c-3dd3-52f9-8abb-678c928ee56a
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,0cfaca5b-0c57-51b3-b869-5cc27ef63eee
normal,USD,2023-11-05,mtgo,0.05,cardhoarder,retail,9dd9f117-6f68-5d91-8591-bb07e1fd1a81
