,cmc,power,resistence,raridades,cluster_textclass,predicted_cluster,true_label
0,0.4375,0.25,0.2,0.5,0.7230483271375464,305,0.08
1,0.3125,0.1875,0.13333333333333336,0.0,0.8643122676579925,30,0.1
2,0.125,0.0,0.2,0.0,0.7360594795539033,1227,0.04
3,0.25,0.125,0.06666666666666667,0.0,0.18401486988847582,889,0.05
4,0.25,0.125,0.06666666666666667,0.5,0.6189591078066914,633,0.1
5,0.1875,0.125,0.06666666666666667,0.0,0.3252788104089219,807,0.08
6,0.25,0.125,0.06666666666666667,0.875,0.4163568773234201,994,0.0
7,0.0625,0.1875,0.13333333333333336,0.5,0.47769516728624534,749,1.98
8,0.1875,0.125,0.06666666666666667,0.875,0.7323420074349442,492,59.97
9,0.125,0.0625,0.0,0.0,0.879182156133829,1266,0.06
10,0.0625,0.125,0.06666666666666667,0.0,0.5223048327137546,1190,0.08
11,0.0625,0.0625,0.0,0.5,0.7286245353159851,65,0.1
12,0.3125,0.125,0.26666666666666666,0.875,0.9925650557620818,742,0.5
13,0.3125,0.1875,0.13333333333333336,0.0,0.4275092936802974,591,0.06
14,0.0625,0.0625,0.0,0.0,0.4256505576208178,80,0.2
15,0.1875,0.125,0.06666666666666667,0.875,0.10408921933085502,527,19.95
16,0.1875,0.125,0.06666666666666667,0.875,0.009293680297397768,451,1.99
17,0.1875,0.0625,0.06666666666666667,0.875,0.970260223048327,858,24.7
18,0.5625,0.25,0.33333333333333337,0.875,0.22862453531598512,914,9.75
19,0.125,0.0625,0.13333333333333336,0.0,0.01486988847583643,630,0.0
20,0.3125,0.25,0.2,0.875,0.2639405204460966,27,59.9
21,0.25,0.125,0.13333333333333336,0.0,0.18401486988847582,422,0.1
22,0.1875,0.0625,0.13333333333333336,0.0,0.18401486988847582,1330,0.1
23,0.1875,0.0625,0.0,0.0,0.8661710037174721,1159,0.12
24,0.0625,0.0625,0.0,0.0,0.5297397769516728,253,6.96
25,0.0625,0.125,0.06666666666666667,0.0,0.3866171003717472,1286,0.68
26,0.125,0.125,0.0,0.5,0.7286245353159851,232,0.11
27,0.125,0.0625,0.13333333333333336,0.5,0.7174721189591078,789,0.07
28,0.125,0.125,0.06666666666666667,0.0,0.24907063197026022,1264,0.03
29,0.0625,0.0625,0.0,0.0,0.05390334572490706,222,0.03
30,0.1875,0.125,0.06666666666666667,0.5,0.7936802973977695,681,0.13
31,0.125,0.125,0.06666666666666667,0.875,0.33643122676579923,754,4.28
32,0.0625,0.0625,0.0,0.0,0.7230483271375464,223,0.0
33,0.1875,0.125,0.06666666666666667,0.0,0.9479553903345724,251,0.25
34,0.25,0.125,0.06666666666666667,0.5,0.28810408921933084,282,0.09
35,0.25,0.1875,0.26666666666666666,0.5,0.7360594795539033,1256,0.0
36,0.1875,0.125,0.06666666666666667,0.0,0.05390334572490706,298,0.08
37,0.25,0.125,0.13333333333333336,0.875,0.04275092936802974,795,1.99
38,0.125,0.125,0.0,0.0,0.13011152416356878,610,0.08
39,0.1875,0.125,0.06666666666666667,0.5,0.3382899628252788,478,0.17
40,0.3125,0.125,0.26666666666666666,0.5,0.6988847583643122,458,0.25
41,0.1875,0.0625,0.13333333333333336,0.875,0.08921933085501858,177,1.99
42,0.375,0.1875,0.2,0.875,0.6951672862453532,540,2.79
43,0.25,0.125,0.06666666666666667,0.0,0.18401486988847582,889,0.04
44,0.3125,0.1875,0.13333333333333336,0.0,0.18401486988847582,499,0.08
45,0.1875,0.0625,0.0,0.875,0.5018587360594795,752,13.5
46,0.1875,0.125,0.13333333333333336,0.0,0.3940520446096654,821,0.09
47,0.0625,0.0625,0.0,0.0,0.18401486988847582,1079,0.0
48,0.1875,0.0625,0.0,0.0,0.09107806691449814,4,0.1
49,0.5,0.6875,0.6666666666666666,0.875,0.5018587360594795,659,0.35
50,0.25,0.125,0.06666666666666667,0.875,0.08921933085501858,361,9.95
51,0.1875,0.25,0.2,0.5,0.18401486988847582,1166,0.05
52,0.1875,0.0625,0.13333333333333336,0.0,0.17100371747211895,1330,0.04
53,0.375,0.3125,0.33333333333333337,0.875,0.18401486988847582,430,0.0
54,0.125,0.0625,0.0,0.5,0.7026022304832713,199,0.14
55,0.1875,0.125,0.06666666666666667,0.0,0.3066914498141264,807,0.1
56,0.1875,0.0625,0.06666666666666667,0.5,0.35130111524163565,478,0.14
57,0.1875,0.125,0.06666666666666667,0.0,0.7267657992565055,631,0.1
58,0.25,0.125,0.13333333333333336,0.875,0.10408921933085502,102,1.09
59,0.125,0.0625,0.0,0.0,0.4795539033457249,621,0.07
60,0.3125,0.0625,0.26666666666666666,0.875,0.6933085501858736,121,1.54
61,0.375,0.3125,0.26666666666666666,0.0,0.4962825278810409,345,0.08
62,0.125,0.125,0.0,0.5,0.07434944237918215,243,0.19
