name,texto,cluster_textclass
Ancestor's Chosen,"First strike (This creature deals combat damage before creatures without first strike.)When Ancestor’s Chosen enters the battlefield, you gain 1 life for each card in your graveyard.",464
Angel of Mercy,"FlyingWhen Angel of Mercy enters the battlefield, you gain 3 life.",472
Angelic Wall,Defender (This creature can’t attack.)Flying,11
Aven Cloudchaser,"Flying (This creature can’t be blocked except by creatures with flying or reach.)When Aven Cloudchaser enters the battlefield, destroy target enchantment.",307
Ballista Squad,"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.",514
Benalish Knight,Flash (You may cast this spell any time you could cast an instant.)First strike (This creature deals combat damage before creatures without first strike.),220
"Cho-Manno, Revolutionary","Prevent all damage that would be dealt to Cho-Manno, Revolutionary.",274
Condemn,"Flying, vigilance{2}{W}, {T}: Exile another target creature. Return that card to the battlefield under its owner’s control at the beginning of the next end step.{2}{W}, {T}, Exert Angel of Condemnation: Exile another target creature until Angel of Condemnation leaves the battlefield. (An exerted creature won’t untap during your next untap step.)",365
Field Marshal,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.),464
Ghost Warden,{T}: Target creature gets +1/+1 until end of turn.,99
Honor Guard,Benalish Honor Guard gets +1/+0 for each legendary creature you control.,375
Icatian Priest,{1}{W}{W}: Target creature gets +1/+1 until end of turn.,99
Kjeldoran Royal Guard,{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.,533
Loxodon Mystic,"{W}, {T}: Tap target creature.",226
Loyal Sentry,"When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.",340
Nomad Mythmaker,"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control.",71
Paladin en-Vec,"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can’t be blocked, targeted, dealt damage, or enchanted by anything black or red.)",118
Pariah,"When Ajani, Nacatl Pariah enters the battlefield, create a 2/1 white Cat Warrior creature token.Whenever one or more other Cats you control die, you may exile Ajani, then return him to the battlefield transformed under his owner’s control.",239
Reya Dawnbringer,"FlyingAt the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.",296
Samite Healer,{T}: Prevent the next 3 damage that would be dealt to any target this turn.,76
Serra Angel,"Flying, vigilance",166
Skyhunter Patrol,"Flying, first strike (This creature can’t be blocked except by creatures with flying or reach, and it deals combat damage before creatures without first strike.)",104
Skyhunter Prowler,"Flying, vigilance (This creature can’t be blocked except by creatures with flying or reach, and attacking doesn’t cause this creature to tap.)",54
Skyhunter Skirmisher,"Flying, double strike",63
Soul Warden,"Whenever another creature enters the battlefield, you gain 1 life.",78
Spirit Link,{0}: Return Blinking Spirit to its owner’s hand.,488
Spirit Weaver,{2}: Target green or blue creature gets +0/+1 until end of turn.,99
Starlight Invoker,{7}{W}: You gain 5 life.,291
Steadfast Guard,Vigilance (Attacking doesn’t cause this creature to tap.),54
Suntail Hawk,Flying,21
Treasure Hunter,"When Treasure Hunter enters the battlefield, you may return target artifact card from your graveyard to your hand.",492
True Believer,You have shroud. (You can’t be the target of spells or abilities.),3
Tundra Wolves,First strike (This creature deals combat damage before creatures without first strike.),464
Venerable Monk,"When Venerable Monk enters the battlefield, you gain 2 life.",391
Voice of All,"FlyingAs Voice of All enters the battlefield, choose a color.Voice of All has protection from the chosen color.",407
Wall of Swords,Defender (This creature can’t attack.)Flying,11
Wild Griffin,Flying,21
Windborn Muse,FlyingCreatures can’t attack you unless their controller pays {2} for each creature they control that’s attacking you.,246
Youthful Knight,First strike,240
Academy Researchers,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.",141
Air Elemental,"FlyingWhirlwind — When Air-Cult Elemental enters the battlefield, return up to one other target creature to its owner’s hand.",520
Ambassador Laquatus,{3}: Target player mills three cards.,14
Arcanis the Omnipotent,{T}: Draw three cards.{2}{U}{U}: Return Arcanis the Omnipotent to its owner’s hand.,380
Aven Fisher,"Flying (This creature can’t be blocked except by creatures with flying or reach.)When Aven Fisher dies, you may draw a card.",307
Aven Windreader,Flying (This creature can’t be blocked except by creatures with flying or reach.){1}{U}: Target player reveals the top card of their library.,307
Cephalid Constable,"Whenever Cephalid Constable deals combat damage to a player, return up to that many target permanents that player controls to their owner’s hand.",416
Cloud Elemental,FlyingCloud Elemental can block only creatures with flying.,345
